"tractid","year","totalpop","households","pcthhchild","pctind_finance","pctind_professional","pctocc_profmanage","pctcollege","pctinc_0_10K","pctinc_10K_15K","pctinc_15K_20K","pctinc_20K_25K","pctinc_25K_30K","pctinc_30K_35K","pctinc_35K_40K","pctinc_40K_45K","pctinc_45K_50K","pctinc_50K_60K","pctinc_60K_75K","pctinc_75K_100K","pctinc_100K_125K","pctinc_125K_150K","pctinc_150K_more","medhhincome","pctpoverty","pctpublicassist","units","pctown","pctrent","pctvacant","medianvalue","pctrent_0_300","pctrent_300_600","medianrent","pctincomerent_30_more","medianpctincomerent","pctinc_mortgage_30_more","pctinc_nomortgage_30_more","pctsameres","pctrent_600_800","pctrent_800_1000","pctrent_1000_1250","pctrent_1250_1500","pctrent_1500_2000","pctrent_2000_more","pctunits_newres","pctrent_600_750","pctrent_750_1000","pctrent_1000_more","pctind_info","pctunits_newres_2010","pctunits_newres_2000"
25017300100,1990,2717,892,37.03,1.54,20.56,30.11,19.75,1.81,2.72,2.72,2.6,2.71,1.92,1.81,3.84,2.71,7.8,10.96,19.89,17.18,11.41,9.83,86889,2.52,3.84,959,89.46,10.54,6.99,236522,0,5.08,870,33.9,27.799999,22.28,3.92,69.18,,,,,,,32.96,13.56,23.73,38.98,,,
25017301100,1990,8496,2761,39.12,4.53,21.27,32.52,24.81,2.02,2.02,2.41,3.55,2.87,2.59,3.12,1.99,1.95,4.46,12.66,18.87,17.87,11.81,11.84,88129,3.02,1.95,2894,83.34,16.66,4.6,260762,4.04,8.31,1059,46.29,29.299999,21.34,3.62,65.84,,,,,,,38.61,11.69,19.33,50.79,,,
25017302100,1990,5432,1905,28.04,5.93,18.21,30.54,20.93,2.15,2.42,2.73,3.57,3.36,4.77,4.41,2.84,5.19,10.59,10.02,17.83,11.64,8.5,10.02,72617,5.5,4.09,1964,69.88,30.12,4.84,263792,0.89,6.57,1046,41.91,27.6,24.97,5.96,48.05,,,,,,,52.8,13.68,23.09,50.62,,,
25017302200,1990,686,184,46.43,8.2,37.16,12.02,6.02,0,0,0,0,0,2.12,5.29,7.4,7.4,19.57,12.17,31.22,8.99,5.29,0,67379,0,0,201,13.43,86.57,0,0,0,4.02,870,2.87,19.4,,,14.6,,,,,,,90.55,9.77,16.09,26.44,,,
25017310100,1990,3340,1597,20.6,4.75,20.95,17.98,20.81,18.61,15.47,13.84,6.95,5.14,4.58,4.01,4.7,3.63,4.63,8.27,4.07,2.38,1.75,2.01,21274,29.95,22.74,1898,5.07,94.93,15.86,0,22.03,22.56,629,51.84,31.1,,,29.1,,,,,,,68.19,12.27,20.58,22.56,,,
25017310200,1990,6137,2165,35.83,6.75,21.75,21.94,13.28,2.63,6.72,5.4,1.55,3.43,3.19,3.39,3.19,2.63,8.69,13.2,21.42,11.37,5.45,7.84,71565,8.96,9.91,2327,54.18,45.82,6.96,232779,2.22,6.85,1103,45.16,29.1,14.23,6.05,57.77,,,,,,,48.59,11.79,19.76,56.55,,,
25017310300,1990,5695,2200,34.01,3.02,23.44,19.11,12.97,4.53,6.07,6.16,4.8,3.12,5.48,5.25,4.08,2.26,8.25,15.86,16.9,7.39,5.39,4.44,60018,10.69,7.66,2362,47.27,52.73,6.86,198557,4.66,8.88,1050,33.1,24.6,24.06,9.22,50.66,,,,,,,54.78,12.24,20.52,50.52,,,
25017310400,1990,3540,1163,40.56,4.39,18.42,13.48,4.35,7.77,6.48,6.3,6.22,7.25,5.35,2.33,3.89,6.05,11.49,12.44,13.9,5.53,3.02,1.99,48694,25.45,16.84,1286,35.51,64.49,9.56,182872,6.8,10.4,1030,42,27,14.29,9.3,45.34,,,,,,,58.21,11.73,19.6,49.87,,,
25017310500,1990,3396,1161,26.33,7.05,25.64,20.61,12.88,9.67,4.02,3.85,2.91,4.28,6.84,5.81,4.71,5.22,8.47,9.15,12.4,9.41,6.67,6.5,52226,15.32,3.17,1214,44.36,55.64,4.37,216559,3.25,7.89,1052,43.18,27.200001,10.81,0,46.72,,,,,,,49.09,12.69,21.36,53.25,,,
25017310600,1990,10441,3819,28.86,5.18,27.06,26.41,17.45,3.77,3.51,3.87,3.97,2.08,3.77,4.89,3.07,4.62,8.36,11.64,21.67,10.27,6.6,7.9,69506,5.59,6.6,3986,53.52,46.48,3.76,241512,4.91,8.97,1046,33.92,24.5,14.81,3.43,51.29,,,,,,,56.44,11.91,20.03,51.92,,,
25017310700,1990,4258,1452,28.02,2.9,28.01,19.83,13.66,9.19,9.690001,8.97,6.21,4.84,4.34,7.01,7.45,3.54,5.49,9.4,10.56,6.94,2.89,3.54,39770,26.21,15.33,1614,26.57,73.43,11.4,178773,10.57,13.33,987,53.15,31.299999,14.29,25.47,38.84,,,,,,,57.62,11.62,19.43,45.05,,,
25017310800,1990,2628,373,15.23,3.66,25.73,10.36,7.27,14.6,13.38,10.95,2.92,6.57,9.25,5.6,7.06,3.16,8.51,6.57,8.03,1.95,1.7,0,30842,43.99,21.41,449,8.1,91.9,12.03,200518,9.64,15.43,752,48.76,30.799999,100,0,26.09,,,,,,,73.16,18.46,30.85,25.62,,,
25017311000,1990,2927,1311,35.05,2.84,23.4,5.11,3.97,17.47,26.2,22.46,7.47,3.51,3.66,4.1,3.96,1.64,2.46,2.76,2.01,0.67,0.6,1.04,14449,52.82,43.06,1439,2.29,97.71,8.9,218698,39.11,33.72,330,36.3,28.1,0,0,44.91,,,,,,,58.35,7.03,11.71,7.1,,,
25017311100,1990,2863,729,43.63,5.14,22.56,3.63,1.69,12.59,8.89,8.89,7.66,5.61,4.52,6.56,9.02,4.79,6.16,10.12,6.02,4.79,2.33,2.05,37675,42.05,42.41,836,18.84,81.16,15.55,168435,5.65,9.19,1075,59.89,35.099998,37.5,0,24.27,,,,,,,71.39,10.78,18.02,55.65,,,
25017311200,1990,3323,1078,46.51,6.28,18.72,13.85,8.66,22.03,11.61,10.6,5.99,2.49,2.12,5.25,4.14,4.7,2.77,9.49,8.85,5.53,2.58,2.03,24748,48.42,30.05,1276,22.34,77.66,13.71,252563,6.67,10.64,1021,60.94,35.099998,10.14,16.89,33.85,,,,,,,69.94,12.63,21.17,46.55,,,
25017311300,1990,3519,1251,30.15,4.6,21.18,26.58,20.19,6.45,2.16,2.82,4.3,3.4,3.72,4.55,6.79,4.96,8.77,13.23,14.14,10.59,5.21,8.93,62436,15.82,11.99,1414,35.81,64.19,11.53,244899,2.39,7.54,1057,44.1,28.299999,12.68,2.17,44.8,,,,,,,58.99,13.32,22.24,54.52,,,
25017311400,1990,5394,2106,29.87,7.81,19.19,22.46,21.86,2.95,2.81,2.62,2.28,3.8,4.33,3.75,4.32,5.37,12.18,20.07,16.64,7.89,4.23,6.7,65072,9.15,8.13,2490,34,66,15.42,239552,0.8,4.99,1132,34.7,25.700001,12.19,5.77,34.12,,,,,,,73.46,10.2,17.06,65.15,,,
25017311500,1990,2684,1034,35.28,7.22,22.23,28.61,26.18,4.45,3.38,3.58,3.96,3.38,2.03,2.03,3.67,5.9,11.51,16.34,11.32,10.93,6.77,10.64,65093,10.19,5.9,1099,50.19,49.81,5.91,256484,1.36,5.05,1146,42.33,28.4,15.6,10.09,56.95,,,,,,,48.74,9.32,15.73,64.85,,,
25017311600,1990,4911,1823,35.59,4.45,29.21,31.09,20.52,4.36,5.67,5.72,5.23,3.21,2.72,3.37,2.88,5.39,10.4,11.21,12.03,8.6,7.78,11.54,60871,8.33,12.85,1920,65.33,34.67,5.05,252563,14.58,14.42,1050,33.66,26.4,13.46,4.81,69.97,,,,,,,41.36,6.89,11.7,50.64,,,
25017311700,1990,4375,1515,38.83,7.02,24.4,27.52,14.03,4.89,5.84,5.16,3.74,5.16,3.33,3.26,4.48,3.81,10.8,11.41,16.44,12.02,5.77,3.74,59624,18.14,12.64,1644,51.82,48.18,7.85,206578,1.37,5.62,1146,49.32,30.5,23.28,7.54,46.26,,,,,,,54.26,10.55,17.81,63.15,,,
25017311800,1990,3432,1012,45.31,3.34,13.94,11.21,7.79,9.6,4.4,4.9,6.5,5.1,5,7.5,5.7,6.2,6.4,11.7,12,6.7,3.4,5,46698,26.05,22.2,1075,31.56,68.44,9.21,186259,5.44,8.76,1093,53.62,34.799999,12.24,10.2,45.58,,,,,,,63.32,10.42,17.52,55.89,,,
25017311900,1990,2777,1200,31.96,2.55,14.68,16.92,7.48,16.04,16.04,14.24,6.96,5.65,4.01,1.55,1.96,4.01,4.83,7.69,7.53,3.11,1.55,4.91,22403,31.18,33.06,1326,16.1,83.9,6.79,186793,25.55,24.11,592,47.64,29.700001,0,0,45.79,,,,,,,61.41,9.45,15.81,25.07,,,
